Code ,Company Name,Market Segment,Industry,Fiscal Year End
27470,"Hokuyu Lucky Co.,Ltd.",Standard,Retail Trade,February
27490,"JP-HOLDINGS,INC.",Prime,Services,March
27500,"S.ISHIMITSU&CO.,LTD.",Standard,Wholesale Trade,March
27510,"TENPOS HOLDINGS Co.,Ltd.",Standard,Wholesale Trade,April
27520,FUJIO FOOD GROUP INC.,Prime,Retail Trade,December
27530,"AMIYAKI TEI CO.,LTD.",Prime,Retail Trade,March
27540,"TOKATSU HOLDINGS CO.,LTD.",Standard,Retail Trade,March
27600,TOKYO ELECTRON DEVICE LIMITED,Prime,Wholesale Trade,March
27620,"SANKO MARKETING FOODS CO.,LTD.",Standard,Retail Trade,June
27630,"FTGroup CO.,LTD.",Standard,Wholesale Trade,March
27640,Hiramatsu Inc.,Prime,Retail Trade,March
27670,TSUBURAYA FIELDS HOLDINGS INC.,Prime,Wholesale Trade,March
27680,Sojitz Corporation,Prime,Wholesale Trade,March
27690,"Village Vanguard CO.,LTD.",Standard,Retail Trade,May
27760,"SHINTO Holdings,Inc.",Standard,Wholesale Trade,January
27780,"PALEMO HOLDINGS CO.,LTD.",Standard,Retail Trade,February
27800,"Komehyo Holdings Co.,Ltd.",Standard,Retail Trade,March
27820,"Seria Co.,Ltd.",Standard,Retail Trade,March
27840,Alfresa Holdings Corporation,Prime,Wholesale Trade,March
27880,"APPLE INTERNATIONAL CO.,LTD.",Standard,Wholesale Trade,December
27890,"Karula Co.,LTD.",Standard,Retail Trade,February
27900,"NAFCO Co.,Ltd.",Standard,Retail Trade,March
27910,"DAIKOKUTENBUSSAN CO.,LTD.",Prime,Retail Trade,May
27920,"HONEYS HOLDINGS CO.,LTD.",Prime,Retail Trade,May
27950,NIPPON PRIMEX INC.,Standard,Wholesale Trade,March
