Code.T,Company Name,Market Segment,Industry,Fiscal Year End
1971.T,"CHUO BUILD INDUSTRY CO.,LTD.",Standard,Metal Products,March
1972.T,"SANKO METAL INDUSTRIAL CO.,LTD.",Standard,Construction,March
1973.T,NEC Networks & System Integration Corporation,Prime,Information & Communication,March
1975.T,"ASAHI KOGYOSHA CO.,LTD.",Prime,Construction,March
1976.T,"MEISEI INDUSTRIAL Co.,Ltd.",Prime,Construction,March
1979.T,Taikisha Ltd.,Prime,Construction,March
1980.T,"DAI-DAN CO.,LTD.",Prime,Construction,March
1981.T,"KYOWANISSEI CO.,LTD.",Standard,Construction,March
1982.T,"Hibiya Engineering,Ltd.",Prime,Construction,March
1992.T,"KANDA TSUSHINKI CO.,LTD.",Standard,Construction,March
1994.T,TAKAHASHI CURTAIN WALL CORPORATION,Standard,Construction,December
1997.T,"AKATSUKI EAZIMA CO.,LTD.",Standard,Construction,August
2001.T,NIPPN CORPORATION,Prime,Foods,March
2002.T,NISSHIN SEIFUN GROUP INC.,Prime,Foods,March
2003.T,"NITTO FUJI FLOUR MILLING CO.,LTD.",Standard,Foods,March
2004.T,"Showa Sangyo Co.,Ltd.",Prime,Foods,March
2009.T,"THE TORIGOE CO.,LTD.",Standard,Foods,December
2053.T,"CHUBU SHIRYO CO.,LTD.",Prime,Foods,March
2055.T,"NICHIWA SANGYO CO.,LTD.",Standard,Foods,March
2060.T,"FEED ONE CO.,LTD.",Prime,Foods,March
2107.T,"Toyo Sugar Refining Co.,Ltd.",Standard,Foods,March
2108.T,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Prime,Foods,March
2109.T,"Mitsui DM Sugar Holdings Co.,Ltd.",Prime,Foods,March
2112.T,"Ensuiko Sugar Refining Co.,Ltd.",Standard,Foods,March
2114.T,Fuji Nihon Seito Corporation,Standard,Foods,March
2117.T,"WELLNEO SUGAR Co.,Ltd.",Prime,Foods,March
2120.T,"LIFULL Co.,Ltd.",Prime,Services,September
2121.T,"MIXI,Inc.",Prime,Services,March
2122.T,"Interspace Co.,Ltd.",Standard,Services,September
2124.T,"JAC Recruitment Co.,Ltd.",Prime,Services,December
2127.T,Nihon M&A Center Holdings Inc.,Prime,Services,March
2130.T,"Members Co.,Ltd.",Prime,Services,March
2134.T,Sun Capital Management Corp.,Standard,Services,March
2136.T,HIP CORPORATION,Standard,Services,March
2138.T,"CROOZ,Inc.",Standard,Information & Communication,March
2139.T,"CHUCO CO.,LTD.",Standard,Services,March
2146.T,"UT Group Co.,Ltd.",Prime,Services,March
2148.T,ITmedia Inc.,Prime,Services,March
2150.T,"CareNet,Inc.",Growth,Services,December
.T,,,,
.T,,,,
.T,,,,
2152.T,Youji Corporation,Standard,Services,March
2153.T,E・J Holdings Inc.,Prime,Services,May
2154.T,Open Up Group Inc.,Prime,Services,June
2156.T,SAYLOR ADVERTISING INC.,Standard,Services,March
2157.T,"KOSHIDAKA HOLDINGS Co.,LTD.",Prime,Services,August
2158.T,"FRONTEO,Inc.",Growth,Services,March
2160.T,GNI Group Ltd.,Growth,Pharmaceutical,December
2162.T,nms Holdings Corporation,Standard,Services,March
2163.T,"ARTNER CO.,LTD.",Prime,Services,January
2164.T,"CHIIKISHINBUNSHA CO.,LTD.",Growth,Services,August
2168.T,Pasona Group Inc.,Prime,Services,May
2169.T,"CDS Co.,Ltd.",Standard,Services,December
2170.T,Link and Motivation Inc.,Prime,Services,December
2173.T,Hakuten Corporation,Growth,Services,December
2175.T,"SMS CO.,LTD.",Prime,Services,March
2179.T,"SEIGAKUSHA CO.,LTD.",Standard,Services,March
2180.T,SUNNY SIDE UP GROUP Inc.,Prime,Services,June
2181.T,"PERSOL HOLDINGS CO.,LTD.",Prime,Services,March
2183.T,"Linical Co.,Ltd.",Prime,Services,March
2185.T,CMC CORPORATION,Standard,Services,September
2186.T,Sobal Corporation,Standard,Services,February
2193.T,Cookpad Inc.,Standard,Services,December
2195.T,"AMITA HOLDINGS CO.,LTD.",Growth,Services,December
2196.T,ESCRIT INC.,Prime,Services,March
2198.T,IKK Holdings Inc.,Prime,Services,October
2201.T,"Morinaga & Co.,Ltd.",Prime,Foods,March
2204.T,"NAKAMURAYA CO.,LTD.",Prime,Foods,March
2206.T,"Ezaki Glico Co.,Ltd.",Prime,Foods,December
2207.T,"Meito Sangyo Co.,Ltd.",Prime,Foods,March
2208.T,BOURBON CORPORATION,Standard,Foods,March
2209.T,"IMURAYA GROUP CO.,LTD.",Prime,Foods,March
2211.T,"Fujiya Co.,Ltd.",Prime,Foods,December
2212.T,"YAMAZAKI BAKING CO.,LTD.",Prime,Foods,December
2215.T,"FIRST BAKING CO.,LTD.",Standard,Foods,December
2216.T,Kanro Inc.,Standard,Foods,December
2217.T,Morozoff Limited,Prime,Foods,January
2220.T,"KAMEDA SEIKA CO.,LTD.",Prime,Foods,March
2221.T,"IWATSUKA CONFECTIONERY CO.,LTD.",Standard,Foods,March
2222.T,"Kotobuki Spirits Co.,Ltd.",Prime,Foods,March
2224.T,"COMO CO.,LTD.",Standard,Foods,March
2226.T,KOIKE-YA Inc.,Standard,Foods,March
2229.T,"CALBEE,Inc.",Prime,Foods,March
2264.T,"MORINAGA MILK INDUSTRY CO.,LTD.",Prime,Foods,March
2266.T,"ROKKO BUTTER CO.,LTD.",Prime,Foods,December
2267.T,"YAKULT HONSHA CO.,LTD.",Prime,Foods,March
2268.T,"B-R 31 ICE CREAM CO.,LTD.",Standard,Foods,December
2269.T,"Meiji Holdings Co.,Ltd.",Prime,Foods,March
